date,campaign,funnel_stage,ad_set,ad,creative_id,ad_type,platform,audience,audience_type,audience_size,impressions,clicks,spend,cpc,cpm,video_views,leads,conversions,revenue
2024-01-15,Brand_Awareness,Awareness,Set_1,Ad_9,Creative_2,Carousel,Instagram,Interest_In_Sustainable_Fashion,Interest,Narrow,1072,9,4.17,0.46,3.89,0,0,0,0.0
2024-01-07,Video_Views,Awareness,Set_1,Ad_19,Creative_4,Image,LinkedIn,Lookalike_Top_Spenders,Lookalike,Narrow,982,14,3.57,0.26,3.64,10,0,0,0.0
2024-01-19,Traffic,Consideration,Set_1,Ad_18,Creative_9,Carousel,Instagram,Custom_List_Past_Purchasers,Custom_List,Broad,1028,6,5.47,0.91,5.32,0,0,0,0.0
2024-01-06,Retargeting,Conversion,Set_2,Ad_15,Creative_7,Image,TikTok,Interest_In_Organic_Food,Interest,Narrow,982,13,12.62,0.97,12.85,0,0,0,0.0
2024-01-12,Conversions,Conversion,Set_3,Ad_5,Creative_2,Image,Instagram,Broad_18-34_US,Broad,Medium,1002,12,5.32,0.44,5.31,0,0,0,0.0
2024-01-10,Retargeting,Conversion,Set_1,Ad_12,Creative_8,Image,X,Retargeting_Email_Engagers,Retargeting,Medium,1034,24,5.94,0.25,5.74,0,0,0,0.0
2024-01-01,Video_Views,Awareness,Set_1,Ad_13,Creative_10,Carousel,Facebook,Retargeting_Product_Viewers,Retargeting,Medium,1032,26,15.05,0.58,14.58,14,0,1,17.93
2024-01-02,Conversions,Conversion,Set_2,Ad_3,Creative_2,Video,Facebook,Custom_List_Newsletter_Subscribers,Custom_List,Narrow,982,35,19.69,0.56,20.05,0,1,2,98.56
2024-01-04,Traffic,Consideration,Set_1,Ad_13,Creative_3,Video,X,Retargeting_Cart_Abandoners,Retargeting,Broad,1020,35,23.37,0.67,22.91,0,1,3,32.4
2024-01-04,Conversions,Conversion,Set_3,Ad_7,Creative_2,Carousel,X,Custom_List_Past_Purchasers,Custom_List,Broad,983,23,12.79,0.56,13.01,0,0,1,64.78
2024-01-08,Video_Views,Awareness,Set_2,Ad_18,Creative_5,Video,Instagram,Interest_In_Home_Fitness,Interest,Medium,944,23,14.53,0.63,15.39,22,0,0,0.0
2024-03-08,Video_Views,Awareness,Set_2,Ad_11,Creative_7,Video,Facebook,Interest_In_Sustainable_Fashion,Interest,Narrow,983,15,1.61,0.11,1.64,10,0,0,0.0
2024-01-17,Conversions,Conversion,Set_1,Ad_7,Creative_8,Image,TikTok,Custom_List_Past_Purchasers,Custom_List,Medium,973,28,15.87,0.57,16.31,0,0,1,29.78
2024-04-17,Retargeting,Conversion,Set_4,Ad_5,Creative_9,Carousel,X,Interest_In_Home_Fitness,Interest,Narrow,1085,36,7.78,0.22,7.17,0,1,1,20.6
2024-01-02,Video_Views,Awareness,Set_3,Ad_19,Creative_4,Video,LinkedIn,Retargeting_Email_Engagers,Retargeting,Medium,979,13,6.7,0.52,6.84,11,0,0,0.0
2024-02-13,Traffic,Consideration,Set_4,Ad_3,Creative_3,Image,Facebook,Broad_35-54_UK,Broad,Narrow,974,33,3.95,0.12,4.06,0,0,1,41.9
2024-01-02,Retargeting,Conversion,Set_1,Ad_13,Creative_5,Carousel,LinkedIn,Retargeting_Email_Engagers,Retargeting,Medium,1008,14,8.43,0.6,8.36,0,0,0,0.0
2024-01-06,Video_Views,Awareness,Set_1,Ad_4,Creative_6,Carousel,TikTok,Broad_18-34_US,Broad,Medium,1018,12,6.43,0.54,6.32,8,0,0,0.0
2024-01-23,Brand_Awareness,Awareness,Set_3,Ad_14,Creative_5,Carousel,Instagram,Retargeting_Cart_Abandoners,Retargeting,Narrow,975,5,3.19,0.64,3.27,0,0,0,0.0
2024-01-03,Video_Views,Awareness,Set_2,Ad_17,Creative_9,Video,Facebook,Broad_35-54_UK,Broad,Broad,964,31,14.22,0.46,14.75,24,0,0,0.0
2024-02-07,Video_Views,Awareness,Set_2,Ad_5,Creative_9,Carousel,X,Broad_18-34_US,Broad,Narrow,974,25,18.85,0.75,19.35,22,0,1,24.24
2024-01-14,Brand_Awareness,Awareness,Set_3,Ad_16,Creative_4,Video,Facebook,Lookalike_Recent_Purchasers,Lookalike,Medium,977,20,7.69,0.38,7.87,0,0,0,0.0
2024-02-17,Brand_Awareness,Awareness,Set_2,Ad_19,Creative_2,Video,Facebook,Lookalike_Recent_Purchasers,Lookalike,Broad,1000,5,1.97,0.39,1.97,0,0,0,0.0
